Local time,Open,High,Low,Close,Volume
20.02.2018 00:02:16.000 GMT-0800,1.23616,1.23620,1.23616,1.23620,7.37
20.02.2018 00:02:17.000 GMT-0800,1.23620,1.23620,1.23620,1.23620,3.9300000000000006
20.02.2018 00:02:18.000 GMT-0800,1.23618,1.23618,1.23618,1.23618,3.44
20.02.2018 00:02:19.000 GMT-0800,1.23617,1.23620,1.23617,1.23620,6.069999999999999
20.02.2018 00:02:20.000 GMT-0800,1.23620,1.23620,1.23620,1.23620,2.06
20.02.2018 00:02:21.000 GMT-0800,1.23620,1.23620,1.23620,1.23620,1.12
20.02.2018 00:02:22.000 GMT-0800,1.23622,1.23625,1.23622,1.23625,5.32
20.02.2018 00:02:23.000 GMT-0800,1.23625,1.23625,1.23625,1.23625,1.62
20.02.2018 00:02:24.000 GMT-0800,1.23626,1.23626,1.23626,1.23626,4.31
20.02.2018 00:02:26.000 GMT-0800,1.23626,1.23626,1.23626,1.23626,3.56
20.02.2018 00:02:27.000 GMT-0800,1.23626,1.23626,1.23626,1.23626,2.51
20.02.2018 00:02:28.000 GMT-0800,1.23626,1.23628,1.23626,1.23626,5.92
20.02.2018 00:02:29.000 GMT-0800,1.23625,1.23626,1.23625,1.23626,2.12
20.02.2018 00:02:30.000 GMT-0800,1.23625,1.23625,1.23625,1.23625,1
20.02.2018 00:02:31.000 GMT-0800,1.23626,1.23626,1.23625,1.23625,2.87
20.02.2018 00:02:33.000 GMT-0800,1.23627,1.23631,1.23627,1.23631,4.8
20.02.2018 00:02:34.000 GMT-0800,1.23633,1.23639,1.23633,1.23639,4.819999999999999
20.02.2018 00:02:35.000 GMT-0800,1.23639,1.23642,1.23639,1.23642,7
20.02.2018 00:02:36.000 GMT-0800,1.23642,1.23642,1.23641,1.23641,5.63
20.02.2018 00:02:37.000 GMT-0800,1.23642,1.23642,1.23642,1.23642,6.89
20.02.2018 00:02:38.000 GMT-0800,1.23641,1.23646,1.23641,1.23646,6.62
20.02.2018 00:02:39.000 GMT-0800,1.23643,1.23645,1.23641,1.23642,21.69
20.02.2018 00:02:40.000 GMT-0800,1.23642,1.23642,1.23642,1.23642,7.13
20.02.2018 00:02:41.000 GMT-0800,1.23643,1.23644,1.23643,1.23644,20.410000000000004
20.02.2018 00:02:42.000 GMT-0800,1.23641,1.23642,1.23641,1.23642,10.629999999999999
20.02.2018 00:02:43.000 GMT-0800,1.23642,1.23642,1.23642,1.23642,10.43
20.02.2018 00:02:44.000 GMT-0800,1.23643,1.23643,1.23643,1.23643,2.62
20.02.2018 00:02:45.000 GMT-0800,1.23642,1.23642,1.23642,1.23642,6.06
20.02.2018 00:02:46.000 GMT-0800,1.23645,1.23648,1.23645,1.23648,11.200000000000001
20.02.2018 00:02:47.000 GMT-0800,1.23647,1.23648,1.23646,1.23646,9.37
20.02.2018 00:02:48.000 GMT-0800,1.23649,1.23649,1.23646,1.23647,12.38
20.02.2018 00:02:49.000 GMT-0800,1.23650,1.23650,1.23648,1.23648,9
20.02.2018 00:02:50.000 GMT-0800,1.23647,1.23647,1.23643,1.23643,7.890000000000001
20.02.2018 00:02:51.000 GMT-0800,1.23644,1.23644,1.23643,1.23643,7.91
20.02.2018 00:02:52.000 GMT-0800,1.23638,1.23638,1.23628,1.23628,9.63
20.02.2018 00:02:53.000 GMT-0800,1.23624,1.23624,1.23623,1.23623,6.6000000000000005
20.02.2018 00:02:54.000 GMT-0800,1.23622,1.23624,1.23622,1.23624,5.2700000000000005
20.02.2018 00:02:55.000 GMT-0800,1.23624,1.23624,1.23624,1.23624,3.64
20.02.2018 00:02:56.000 GMT-0800,1.23623,1.23623,1.23623,1.23623,3.42
20.02.2018 00:02:57.000 GMT-0800,1.23622,1.23622,1.23622,1.23622,3.23
20.02.2018 00:02:58.000 GMT-0800,1.23621,1.23621,1.23621,1.23621,2.77
20.02.2018 00:02:59.000 GMT-0800,1.23621,1.23621,1.23621,1.23621,1.45
20.02.2018 00:03:00.000 GMT-0800,1.23621,1.23621,1.23621,1.23621,3.43
20.02.2018 00:03:01.000 GMT-0800,1.23619,1.23619,1.23619,1.23619,1.95
20.02.2018 00:03:02.000 GMT-0800,1.23619,1.23619,1.23619,1.23619,7.6499999999999995
20.02.2018 00:03:03.000 GMT-0800,1.23617,1.23617,1.23605,1.23607,11.5
20.02.2018 00:03:04.000 GMT-0800,1.23607,1.23607,1.23605,1.23605,4.140000000000001
20.02.2018 00:03:05.000 GMT-0800,1.23606,1.23607,1.23606,1.23607,2.2
20.02.2018 00:03:06.000 GMT-0800,1.23611,1.23611,1.23611,1.23611,4.54
20.02.2018 00:03:07.000 GMT-0800,1.23611,1.23611,1.23611,1.23611,4.6499999999999995
20.02.2018 00:03:08.000 GMT-0800,1.23609,1.23610,1.23605,1.23605,11.02
20.02.2018 00:03:09.000 GMT-0800,1.23600,1.23600,1.23597,1.23598,8.34
20.02.2018 00:03:10.000 GMT-0800,1.23597,1.23598,1.23597,1.23598,2.7
20.02.2018 00:03:11.000 GMT-0800,1.23599,1.23599,1.23599,1.23599,5.89
20.02.2018 00:03:12.000 GMT-0800,1.23598,1.23600,1.23598,1.23600,6.14
20.02.2018 00:03:13.000 GMT-0800,1.23602,1.23603,1.23602,1.23603,7.07
20.02.2018 00:03:14.000 GMT-0800,1.23603,1.23603,1.23601,1.23601,6.71
20.02.2018 00:03:15.000 GMT-0800,1.23602,1.23605,1.23602,1.23605,5.79
20.02.2018 00:03:16.000 GMT-0800,1.23608,1.23610,1.23608,1.23610,4.64
20.02.2018 00:03:17.000 GMT-0800,1.23609,1.23609,1.23609,1.23609,2.7
20.02.2018 00:03:18.000 GMT-0800,1.23612,1.23613,1.23604,1.23604,14.490000000000002
20.02.2018 00:03:19.000 GMT-0800,1.23598,1.23598,1.23598,1.23598,12.64
20.02.2018 00:03:20.000 GMT-0800,1.23595,1.23595,1.23593,1.23593,8.5
20.02.2018 00:03:21.000 GMT-0800,1.23593,1.23594,1.23593,1.23594,5.13
20.02.2018 00:03:22.000 GMT-0800,1.23593,1.23593,1.23593,1.23593,2.4099999999999997
20.02.2018 00:03:24.000 GMT-0800,1.23593,1.23593,1.23593,1.23593,3.26
20.02.2018 00:03:25.000 GMT-0800,1.23591,1.23591,1.23587,1.23587,7.2
20.02.2018 00:03:26.000 GMT-0800,1.23588,1.23590,1.23588,1.23590,14.849999999999998
20.02.2018 00:03:27.000 GMT-0800,1.23586,1.23586,1.23582,1.23582,7.890000000000001
20.02.2018 00:03:28.000 GMT-0800,1.23580,1.23584,1.23580,1.23584,7.73
20.02.2018 00:03:29.000 GMT-0800,1.23584,1.23584,1.23584,1.23584,6.71
20.02.2018 00:03:30.000 GMT-0800,1.23584,1.23585,1.23584,1.23585,5.21
20.02.2018 00:03:31.000 GMT-0800,1.23585,1.23585,1.23579,1.23579,16.529999999999998
20.02.2018 00:03:32.000 GMT-0800,1.23580,1.23580,1.23580,1.23580,2.7699999999999996
20.02.2018 00:03:33.000 GMT-0800,1.23581,1.23584,1.23581,1.23584,4.95
20.02.2018 00:03:34.000 GMT-0800,1.23585,1.23586,1.23585,1.23586,3.63
20.02.2018 00:03:35.000 GMT-0800,1.23586,1.23586,1.23581,1.23581,17.759999999999998
20.02.2018 00:03:36.000 GMT-0800,1.23582,1.23582,1.23577,1.23579,7.29
20.02.2018 00:03:37.000 GMT-0800,1.23576,1.23576,1.23572,1.23572,4.18
20.02.2018 00:03:38.000 GMT-0800,1.23574,1.23574,1.23570,1.23570,7.57
20.02.2018 00:03:39.000 GMT-0800,1.23563,1.23564,1.23558,1.23563,22.330000000000005
20.02.2018 00:03:40.000 GMT-0800,1.23563,1.23563,1.23562,1.23562,4.1899999999999995
